title	author	journal	number	cites	year	cid	pubid
Copy number variability of expression plasmids determined by cell sorting and Droplet Digital PCR	M Jahn, C Vorpahl, T Hübschmann, H Harms, S Müller	Microbial cell factories	15 (1), 211	208	2016	16946173238681706286	KlAtU1dfN6UC
Pooled CRISPRi screening of the cyanobacterium Synechocystis sp PCC 6803 for enhanced industrial phenotypes	L Yao, K Shabestary, SM Björk, J Asplund-Samuelsson, HN Joensson, ...	Nature communications	11 (1), 1666	189	2020	8692864789027191595,1495214933896935978	WF5omc3nYNoC
Growth of cyanobacteria is constrained by the abundance of light and carbon assimilation proteins	M Jahn, V Vialas, J Karlsen, G Maddalo, F Edfors, B Forsström, M Uhlén, ...	Cell reports	25 (2), 478-486. e8	161	2018	144365107460997918	u5HHmVD_uO8C
Targeted repression of essential genes to arrest growth and increase carbon partitioning and biofuel titers in cyanobacteria	K Shabestary, J Anfelt, E Ljungqvist, M Jahn, L Yao, EP Hudson	ACS synthetic biology	7 (7), 1669-1675	113	2018	6105865582887914088	Tyk-4Ss8FVUC
Protein allocation and utilization in the versatile chemolithoautotroph Cupriavidus necator	M Jahn, N Crang, M Janasch, A Hober, B Forsström, K Kimler, ...	Elife	10, e69019	92	2021	4312408788420896375,15446317352438536889	zYLM7Y9cAGgC
Accurate determination of plasmid copy number of flow-sorted cells using droplet digital PCR	M Jahn, C Vorpahl, D Türkowsky, M Lindmeyer, B Bühler, H Harms, ...	Analytical chemistry	86 (12), 5969-5976	61	2014	13934150984754153622	5nxA0vEk-isC
CRISPR interference screens reveal growth–robustness tradeoffs in Synechocystis sp. PCC 6803 across growth conditions	R Miao, M Jahn, K Shabestary, G Peltier, EP Hudson	The Plant Cell	35 (11), 3937-3956	56	2023	17643768981213769112,10065212588905258979	Wp0gIr-vW9MC
The energy metabolism of Cupriavidus necator in                     different trophic conditions	M Jahn, N Crang, AH Gynnå, D Kabova, S Frielingsdorf, O Lenz, ...	Applied and Environmental Microbiology	90 (10), e00748-24	44	2024	4018096317417389449	9ZlFYXVOiuMC
Subpopulation-proteomics in prokaryotic populations	M Jahn, J Seifert, M von Bergen, A Schmid, B Bühler, S Müller	Current opinion in biotechnology	24 (1), 79-87	44	2013	15374593475523329683	kNdYIx-mwKoC
Thermodynamic limitations of PHB production from formate and fructose in Cupriavidus necator	M Janasch, N Crang, J Asplund-Samuelsson, E Sporre, M Bruch, ...	Metabolic engineering	73, 256-269	37	2022	10699607758890988766,12138315390138996062,6759973023843220370	qxL8FJ1GzNcC
Pathway selectivity in Frizzleds is achieved by conserved micro-switches defining pathway-determining, active conformations	L Grätz, M Kowalski-Jahn, MM Scharf, P Kozielewicz, M Jahn, J Bous, ...	Nature communications	14 (1), 4573	36	2023	11386653415536306270	mVmsd5A6BfQC
Environmental stress speeds up DNA replication in Pseudomonas putida in chemostat cultivations	S Lieder, M Jahn, J Koepff, S Müller, R Takors	Biotechnology Journal	11 (1), 155-163	30	2016	13580168138903678041	0EnyYjriUFMC
Non-random distribution of macromolecules as driving forces for phenotypic variation	M Jahn, S Günther, S Müller	Current opinion in microbiology	25, 49-55	28	2015	1652149935231335584	UeHWp8X0CEIC
R as an environment for reproducible analysis of DNA amplification experiments	S Rödiger, M Burdukiewicz, K Blagodatskikh, M Jahn, P Schierack			28	2015	6642799091329430263	Y0pCki6q_DkC
Slow protein turnover explains limited protein-level response to diurnal transcriptional oscillations in cyanobacteria	J Karlsen, J Asplund-Samuelsson, M Jahn, D Vitay, EP Hudson	Frontiers in Microbiology	12, 657379	27	2021	1369880186574875615	2osOgNQ5qMEC
Ribosome Profiling of Synechocystis Reveals Altered Ribosome Allocation at Carbon Starvation	J Karlsen, J Asplund-Samuelsson, Q Thomas, M Jahn, EP Hudson	Msystems	3 (5), 10.1128/msystems. 00126-18	25	2018	11654529385148707095,9526101869954931463	roLk4NBRz8UC
Variability in subpopulation formation propagates into biocatalytic variability of engineered Pseudomonas putida strains	M Lindmeyer, M Jahn, C Vorpahl, S Müller, A Schmid, B Bühler	Frontiers in microbiology	6, 1042	23	2015	11727346106283022693	Se3iqnhoufwC
Subpopulation-proteomics reveal growth rate, but not cell cycling, as a major impact on protein composition in Pseudomonas putida KT2440	S Lieder, M Jahn, J Seifert, M von Bergen, S Müller, R Takors	Amb Express	4 (1), 71	22	2014	7848720705013210875	eQOLeE2rZwMC
Comparison of preservation methods for bacterial cells in cytomics and proteomics	M Jahn, J Seifert, T Hübschmann, M von Bergen, H Harms, S Müller	Journal of Integrated Omics	3 (1), 25-33	19	2013	6868401403282747377	W7OEmFMy1HYC
Temporal and spatial properties of a yeast multi-cellular amplification system based on signal molecule diffusion	M Jahn, A Mölle, G Rödel, K Ostermann	Sensors	13 (11), 14511-14522	8	2013	1693569785952170875	IjCSPb-OGe4C
Novel assembly of the SF370 strain of the important human pathogen Streptococcus pyogenes serotype M1	TF Wulff, R Ahmed-Begrich, K Hahnke, M Jahn, E Charpentier	Microbiology Resource Announcements	14 (1), e01197-24	1	2025	8212639864338158018	ZeXyd9-uunAC
Akkurate Bestimmung der Plasmidkopienzahl pro Zelle	M Jahn, C Vorpahl, D Türkowsky, S Müller	BIOspektrum	22 (2), 211-213	1	2016	9036171586705593715	ufrVoPGSRksC
Stress-induced ribosome degradation in Bacillus subtilis is mediated by the RNase Y-specificity complex	FA Cornejo, K Driller, R Ahmed-Begrich, K Schmidt, M Jahn, ...	Nature Communications	17 (1), 4886	0	2026	NA	IWHjjKOFINEC
The cost-benefit trade-off of peritrichous flagellation in bacteria	MJ Giralt-Zuniga, M Jahn, JL Franklin, K Alagesan, F Kondrot, ...	bioRxiv	2026.08. 20.746045	0	2026	NA	mB3voiENLucC
Protein Allocation, Essentiality, and Metabolic Driving-Forces in the CO2-Fixing Lithoautotroph Cupriavidus Necator	M Jahn, M Janasch, N Crang, P Hudson	Metabolic Engineering	16	0	2025	NA	qUcmZB5y_30C
Crispri Repression Screens Reveal Tradeoffs between Growth Rate and Robustness in Cyanobacteria in Various Trophic Conditions	R Miao, M Jahn, K Shabestary, P Hudson	Metabolic Engineering	15	0	2023	NA	hC7cP41nSMkC
